id,name
701,"Smoothie Glow Superfood Nat, 7 oz"
702,"Bolthouse Farms Fruit Juice Smoothie, Blue Goodness, 11 oz"
703,"Organic Peach Plum e Vera Juice, 16.9 fl oz"
704,"Carrot Ginger Turmeric, 32 fluid ounce"
705,"Naked Juice Boosted Smoothie, Green Machine, 46 oz Bottle"
706,"Lacinato Kale + Lavender Just Greens Vegetable and Fruit Juice Blend, 12 fl oz"
707,"Goya Peach Nectar, 33.8 fl oz"
708,"NESTLE SPLASH, Acai Grape Flavor, 16.9 FL OZ Plastic Bottles (6 Count)"
709,"Bolthouse Farms Fruit Juice Smoothie, Berry Boost, 11 oz"
710,"Deep Blend Beet Juice, 16 fl oz"
711,"NESTLE SPLASH, Wild Berry Flavor, 16.9 FL OZ Plastic Bottles (6 Count)"
712,"Naked Juice Fruit Smoothie, Strawberry Banana, 15.2 oz Bottle"
713,Naked Juice Smoothie Strawberry Banana 64oz
714,"Morning Rush Organic Cold-Pressed Juice, 16 fl oz"
715,"Naked Juice Boosted Smoothie, Green Machine, 64 oz Bottle"
716,"Goya Prisma Pera Nectar, 33.8 Oz"
717,"V8 Splash Smoothies Strawberry Banana, 46 oz."
718,"Blueberry Monster Flavored Juice Smoothie, 15.2 fl oz"
719,"Ceres Medley Of Fruits Juice, 33.8 fl oz"
720,"Capri Sun 100% Juice Paw Patrol Naturally Flavored 100% Apple Juice, 10 ct Box, 6 fl oz Pouches"
721,"V8 Juice, Original 100% Vegetable Juice, Plant-Based Drink, 64 Ounce Bottle"
722,"Chlorophyll Refresh Low-Glycemic Lemonade, 12 fl oz"
723,"Organic Renew Juice, 12 fl oz"
724,"Mott's 100% Original Apple Juice, 8 fl oz bottles, 6 pack"
725,"Bloody Mary Mix, 36 fl oz"
726,"Green Aid, 16 fl oz"
727,"Cider, 50.7 fl oz"
728,Martinelli's Gold Medal Sparkling Cider -25.4 fl oz Glass Bottles
729,"Capri Sun Strawberry Naturally Flavored Juice Drink Blend, 10 ct Box, 6 fl oz Pouches"
730,"Goodbelly Cranberry Watermelon Juicedrink, 1 qt"
731,"Bolthouse Farms 100% Pomegranate Juice, 100% Fruit Juice, 52 oz"
732,"Lemonade, 64 fl oz"
733,"Great Value Antioxidant Sugar-Free Blackberry Lemonade Drink Mix, 1.41 oz, 10 Count"
734,Bolthouse Farms Protein+ Dutch Chocolate Banana Shake - 15.2 fl oz
735,"Organic Gut Check Shot, 1.7 fl oz"
736,"Vita Coco Coconut Water, Pure, 16.9 fl oz Tetra"
737,"Icee Blue Raspberry Slush, 8 Fl. Oz."
738,"ICEE Slush Cherry Frost Flavored Drink, 8 Fl. Oz."
739,"Marketside Classic Style Lemonade, 44 Fl Oz"
740,"Welch's Guava Pineapple Juice Cocktail, 59 Fl Oz carton"
741,"Capri Sun Roarin' Waters Tropical Tide Naturally Flavored Water Beverage, 10 ct Box, 6 fl oz Pouches"
742,"Organic Shelf-Stable Juice, Cranberry, 64 fl oz"
743,"Great Value 100% Juice Cranberry Blend, 64 fl oz"
744,Orange Juice - 64 fl oz Bottle - Market Pantry™
745,"Organic Shelf-Stable Juice, Cranberry Juice Cocktail - Light, 64 fl oz"
746,Organic White Grape Juice - 64 fl oz Bottle - Simply Balanced™
747,"Great Value Cranberry Apple Juice Cocktail, 64 fl oz"
748,"Kool-Aid Bursts Berry Blue Artificially Flavored Soft Drink, 6 ct Pack, 6.75 fl oz Bottles"
749,"Organic Shelf-Stable Juice, Orange Mango - No Sugar Added, 32 fl oz"
750,Cranberry Blend 100% Juice - 64 fl oz Bottle - Market Pantry™
